"filename", "language", "HTML", "TypeScript", "PostCSS", "JSON", "JSON with Comments", "Ignore", "Markdown", "JavaScript", "Svelte", "comment", "blank", "total"
"/Users/toomuchham/persProjs/maya-dash/src/routes/(private)/dashboard/[serverId]/advertise/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 78, 1, 5, 84
"/Users/toomuchham/persProjs/maya-dash/src/routes/(private)/dashboard/[serverId]/audit-log/+page.server.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/toomuchham/persProjs/maya-dash/src/routes/(private)/dashboard/[serverId]/audit-log/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 2, 126
"/Users/toomuchham/persProjs/maya-dash/src/routes/(private)/dashboard/[serverId]/general/+page.server.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 1, 3, 80
"/Users/toomuchham/persProjs/maya-dash/src/routes/(private)/dashboard/[serverId]/general/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 131, 8, 0, 139
"/Users/toomuchham/persProjs/maya-dash/src/routes/(private)/dashboard/[serverId]/members/+page.server.ts", "TypeScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 3, 78
"/Users/toomuchham/persProjs/maya-dash/src/routes/(private)/dashboard/[serverId]/members/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 2, 157
"/Users/toomuchham/persProjs/maya-dash/src/routes/(private)/profile/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 57, 2, 1, 60
"/Users/toomuchham/persProjs/maya-dash/src/routes/(public)/about-us/+page.server.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/toomuchham/persProjs/maya-dash/src/routes/(public)/about-us/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 147, 6, 2, 155
"/Users/toomuchham/persProjs/maya-dash/src/routes/(public)/servers/+page.server.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/toomuchham/persProjs/maya-dash/src/routes/(public)/servers/[serverId]/+error.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 0, 21
"/Users/toomuchham/persProjs/maya-dash/src/routes/(public)/servers/[serverId]/+page.server.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 2, 72
"/Users/toomuchham/persProjs/maya-dash/src/routes/(public)/servers/[serverId]/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 116
"/Users/toomuchham/persProjs/maya-dash/src/routes/(public)/servers/browse/+page.server.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/toomuchham/persProjs/maya-dash/src/routes/(public)/servers/browse/[pageNum]/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 139, 1, 2, 142
"/Users/toomuchham/persProjs/maya-dash/src/routes/(public)/servers/browse/[pageNum]/+server.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/toomuchham/persProjs/maya-dash/src/routes/+error.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 15
"/Users/toomuchham/persProjs/maya-dash/src/routes/+layout.server.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/toomuchham/persProjs/maya-dash/src/routes/+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 244, 5, 5, 254
"/Users/toomuchham/persProjs/maya-dash/src/routes/+layout.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/toomuchham/persProjs/maya-dash/src/routes/+page.server.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 1, 12
"/Users/toomuchham/persProjs/maya-dash/src/routes/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 5, 48
"/Users/toomuchham/persProjs/maya-dash/static/data/hero-font.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/toomuchham/persProjs/maya-dash/static/site.webmanifest", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/toomuchham/persProjs/maya-dash/svelte.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 6, 3, 22
"/Users/toomuchham/persProjs/maya-dash/tailwind.config.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64
"/Users/toomuchham/persProjs/maya-dash/tests/test.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/toomuchham/persProjs/maya-dash/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 1, 18
"/Users/toomuchham/persProjs/maya-dash/vite.config.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 12, 907, 33, 69, 13, 11, 24, 49, 2084, 65, 259, 3526
